contribution_id,type,timestamp,user_id,user_creation_ts,industry,company_country,company_id,company_creation_ts,creator_user_id,referral_source,landing_page
1,created,12/14/2020 3:34:14,678eebcb-c889-4192-acc1-7b2331f45db9,12/14/2020 3:32:10,,,c27eda2b-e50e-4328-97fb-f29dc58bf03b,12/14/2020 3:33:23,678eebcb-c889-4192-acc1-7b2331f45db9,google_organic,position_page
2,created,12/27/2020 12:56:39,90419893-e276-41cf-89e7-690c6dd5b18d,12/27/2020 12:51:39,Consumer Services,United States,623d3005-0626-42b7-925e-570e8c825a18,12/27/2020 12:51:40,90419893-e276-41cf-89e7-690c6dd5b18d,google_organic,position_page
3,created,1/11/2021 18:18:54,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
4,created,1/11/2021 18:22:53,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
5,created,1/11/2021 18:21:14,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
6,created,1/11/2021 18:20:04,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
7,created,1/11/2021 18:22:21,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
8,created,1/11/2021 18:21:44,b8b82012-fb69-4e5f-a0b5-a1215143e7ba,1/11/2021 18:15:00,Information Technology and Services,United States,d02dbf9f-3027-437a-bde2-f24d43b27761,9/13/2020 4:46:09,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
9,deleted,12/9/2020 5:39:25,02075d98-2820-429c-a4e0-749bf131f41c,12/9/2020 5:38:20,Information Technology and Services,United States,b0fd31fc-2b7e-4814-a2e6-5ed4338b2563,9/24/2018 17:17:52,ab97a6b1-3486-4d16-885b-97e673a66cfd,linkedin_organic,org_chart
10,deleted,12/9/2020 5:38:59,02075d98-2820-429c-a4e0-749bf131f41c,12/9/2020 5:38:20,Information Technology and Services,United States,b0fd31fc-2b7e-4814-a2e6-5ed4338b2563,9/24/2018 17:17:52,ab97a6b1-3486-4d16-885b-97e673a66cfd,linkedin_organic,org_chart
