salary,age,college,grad,comten,ceoten,profits,mktval
1033,62,1,1,30,1,478,7300
879,63,1,1,21,9,212,4900
971,72,1,1,33,24,69,609
567,56,1,0,31,10,65,1700
1336,60,1,1,21,13,562,4300
1444,59,1,1,2,2,401,10700
693,46,1,1,7,3,44,533
806,59,1,1,3,3,257,3900
246,51,1,0,8,8,13,458
456,56,1,1,9,3,34,6700
358,64,1,0,43,11,45,423
515,52,1,1,27,1,51,889
650,53,1,1,5,4,40,557
649,44,1,1,4,4,17,475
925,56,1,1,26,12,67,2200
453,33,0,1,3,1,33,344
849,46,1,1,24,24,36,473
1630,39,1,1,8,8,27,822
174,69,1,0,13,13,6,390
483,52,1,1,18,14,35,548
1142,53,1,1,30,1,1900,26300
624,61,1,1,21,13,109,934
2102,67,1,1,41,20,1700,45400
1237,63,1,1,37,9,108,6200
2021,56,1,0,34,3,2700,42900
2220,63,1,1,18,18,-80,540
1675,71,0,0,31,12,115,1200
1094,64,1,1,39,5,230,3900
387,71,1,1,32,13,28,477
581,54,1,0,19,19,23,403
873,41,1,1,2,2,21,567
100,61,1,1,26,26,394,10100
350,54,1,0,31,4,46,812
822,60,1,0,22,20,77,752
537,57,1,1,35,1,210,4800
355,66,1,0,39,8,8,477
720,49,1,0,12,12,23,1400
1798,66,1,1,21,14,338,12500
1162,58,1,0,24,6,226,1800
1600,61,1,0,4,1,877,9400
300,77,0,0,45,26,483,4700
540,61,1,1,37,1,549,5600
800,57,1,1,12,9,32,479
764,55,1,1,31,16,145,2100
185,58,1,0,39,1,49,560
1284,54,1,1,32,3,1300,19600
389,55,1,0,29,4,38,420
880,62,1,0,36,12,229,4000
829,56,1,0,14,8,184,1500
693,42,1,0,17,12,206,3000
453,30,0,1,3,1,33,344
853,58,1,0,34,34,33,411
1142,50,1,1,11,3,166,2200
585,60,1,1,36,10,33,449
439,57,1,1,26,12,280,3800
791,66,1,0,14,8,-60,487
541,51,1,0,30,4,82,1200
1041,63,1,1,21,11,91,1400
5299,64,1,0,42,13,119,1500
410,55,1,0,36,20,34,590
474,63,1,0,41,4,175,2600
431,58,1,1,33,3,36,550
363,58,1,1,36,6,80,880
607,38,1,1,7,3,38,599
1749,57,1,1,26,11,40,10000
1500,55,1,1,30,4,665,4800
1143,67,0,0,23,3,56,918
459,59,1,0,33,3,40,1400
875,58,1,1,32,10,308,2200
1101,62,1,1,32,3,96,1200
601,54,1,1,26,7,34,533
912,54,1,0,9,9,239,2400
1301,50,1,1,19,15,130,1600
381,54,1,0,30,2,386,4500
245,44,1,1,7,7,24,558
526,45,1,0,8,7,106,2000
651,55,1,0,22,22,-54,1000
1080,52,1,0,18,5,55,1600
1487,51,1,0,3,3,182,2800
1946,73,1,0,25,21,484,8000
398,54,1,0,4,4,69,1800
1200,72,1,0,37,37,35,678
704,52,1,1,6,6,8,903
825,56,1,1,4,4,295,5900
2792,40,1,0,11,11,35,888
622,57,1,0,35,4,143,1200
877,21,1,1,3,5,-3,303
834,61,1,1,32,0,364,5300
790,69,1,0,45,37,140,3200
867,59,1,0,36,14,81,1500
379,55,1,1,4,2,-1,-1
497,44,1,1,8,6,28,387
491,43,1,1,21,2,54,521
600,56,1,1,18,7,-40,4000
1276,64,1,0,41,17,52,1300
264,63,1,0,42,3,43,480
694,61,1,1,35,19,75,1000
379,51,1,1,9,3,40,1100
697,51,1,0,25,1,234,5700
1287,59,1,1,4,3,222,2700
605,53,1,0,16,4,30,505
752,54,1,0,32,4,193,3200
467,49,1,1,13,0,49,534
1091,33,1,0,9,9,36,1300
348,43,1,1,12,10,79,1400
945,59,1,0,35,10,24,623
1627,62,1,1,13,4,596,9100
989,40,1,0,18,5,30,582
